Station_Sample_ID,Date,Season,State,District,Water_Body_Name,Water_Source_Type,Water_Temperature_C,pH,Dissolved_Oxygen_DO_mg_L,Biochemical_Oxygen_Demand_BOD_mg_L,Chemical_Oxygen_Demand_COD_mg_L,Total_Dissolved_Solids_TDS_mg_L,Turbidity_NTU,Nitrate_NO3_mg_L,Fluoride_F_mg_L,Arsenic_As_mg_L,Lead_Pb_mg_L,Fecal_Coliform_MPN_100ml,Water_Quality_Index_WQI,CPCB_Water_Quality_Class,Potability_Use_Assessment
IND-WQ-000525,2026-07-25,Monsoon,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,26.1,8.07,0.34,37.02,199.3,1454.1,110.5,63.84,0.98,0.0243,0.029,450000,37.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000526,2025-10-14,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),23.2,7.2,6.03,2.69,10.2,280.7,9.5,3.6,0.45,0.0012,0.0029,600,67.7,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000527,2025-09-25,Monsoon,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),24.5,7.26,4.71,7.69,37.6,736.3,47.7,30.43,0.87,0.0034,0.0172,8500,49.4,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000528,2023-10-30,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),22.4,7.29,1.51,22.81,109.7,1006.5,67.6,43.39,1.22,0.0087,0.0197,450000,26.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000529,2024-06-24,Pre-Monsoon / Summer,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),33.1,8.31,2.81,15.6,62.0,724.6,48.9,34.0,1.53,0.0191,0.0155,68000,33.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000530,2024-04-14,Pre-Monsoon / Summer,Bihar,Patna,Ganga River,River (Surface Water),28.6,8.0,4.76,7.02,31.3,436.5,15.5,29.87,0.64,0.0028,0.0139,14000,40.1,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000531,2025-03-23,Pre-Monsoon / Summer,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),28.9,7.42,3.5,1.72,4.9,387.2,9.0,10.56,0.46,0.0503,0.004,20,28.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000532,2023-03-18,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),30.2,8.82,0.6,35.93,145.9,1019.6,73.2,37.82,1.67,0.0182,0.0301,68000,25.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000533,2025-10-16,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),23.9,7.29,6.84,2.12,6.2,429.7,13.5,10.93,0.38,0.0043,0.0069,600,56.8,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000534,2023-01-24,Winter,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),15.7,8.01,1.49,20.69,87.3,1009.3,77.4,45.44,1.7,0.0106,0.0361,68000,32.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000535,2025-11-04,Post-Monsoon,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),21.3,7.4,3.09,2.27,9.0,308.6,8.6,8.93,0.75,0.0434,0.0105,60,30.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000536,2024-11-06,Post-Monsoon,Assam,Guwahati,Brahmaputra River,River (Surface Water),21.9,7.28,7.69,2.8,10.9,294.4,8.3,8.11,0.5,0.004,0.0024,80,82.3,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000537,2024-06-08,Pre-Monsoon / Summer,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),29.9,9.25,0.71,48.52,214.2,2062.2,37.6,54.55,1.73,0.0207,0.0402,1200000,32.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000538,2023-12-13,Winter,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),18.6,8.05,3.47,4.5,19.7,517.0,13.2,14.19,1.08,0.0106,0.0046,4800,32.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000539,2023-06-21,Pre-Monsoon / Summer,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),29.8,7.79,4.58,7.48,24.1,254.9,23.0,19.68,1.05,0.0099,0.0054,8500,45.0,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000540,2024-12-12,Winter,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),19.9,7.68,3.33,0.87,2.9,2591.3,4.4,35.76,2.56,0.0034,0.0026,10,27.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000541,2024-05-03,Pre-Monsoon / Summer,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,27.1,7.62,8.77,1.89,7.1,303.2,9.5,4.08,0.31,0.0011,0.0047,600,55.3,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000542,2024-01-13,Winter,Assam,Cachar (Silchar),Barak River,River (Surface Water),17.0,7.54,6.54,2.15,7.8,231.7,13.0,7.11,0.9,0.0042,0.0017,350,84.6,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000543,2026-04-02,Pre-Monsoon / Summer,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),30.9,8.46,1.74,28.84,157.5,846.9,35.8,46.42,1.29,0.0088,0.0315,1200000,32.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000544,2024-01-07,Winter,Assam,Guwahati,Brahmaputra River,River (Surface Water),22.3,7.44,5.95,2.16,7.5,242.5,10.4,2.79,0.75,0.0013,0.002,20,84.3,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000545,2025-09-26,Monsoon,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),28.9,8.2,3.9,7.84,24.3,524.1,90.9,14.11,1.09,0.0044,0.0078,4800,34.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000546,2025-09-03,Monsoon,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),28.5,9.15,0.0,35.23,186.4,1574.0,224.9,25.77,1.63,0.0274,0.0484,450000,37.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000547,2025-01-26,Winter,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),22.3,7.95,7.18,7.28,24.5,506.5,11.4,30.85,0.8,0.0043,0.0082,4800,49.1,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000548,2024-04-21,Pre-Monsoon / Summer,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,29.9,8.92,0.03,45.26,231.8,1442.1,57.0,52.19,1.68,0.0108,0.0315,1200000,33.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000549,2024-01-17,Winter,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),18.0,7.73,5.75,6.94,25.1,510.7,12.0,19.79,0.91,0.0079,0.0169,2400,44.0,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000550,2023-06-04,Pre-Monsoon / Summer,Bihar,Patna,Ganga River,River (Surface Water),29.4,7.02,5.99,4.84,20.7,632.3,33.1,19.48,0.77,0.0059,0.018,8500,44.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000551,2023-09-14,Monsoon,Bihar,Patna,Ganga River,River (Surface Water),28.0,8.65,6.54,7.2,32.6,608.1,123.7,19.51,0.84,0.0027,0.0164,2400,37.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000552,2024-11-04,Post-Monsoon,Telangana,Hyderabad,Musi River,River (Surface Water),25.2,8.25,0.17,53.5,240.5,1977.5,59.3,45.98,1.34,0.0201,0.051,1200000,38.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000553,2023-03-09,Pre-Monsoon / Summer,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),27.3,7.86,4.97,5.28,25.7,641.2,11.8,17.26,0.66,0.012,0.0031,4800,49.0,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000554,2023-12-10,Winter,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),20.0,8.03,5.16,5.66,27.1,777.2,34.2,31.62,0.55,0.008,0.0174,1200,40.6,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000555,2026-07-24,Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,23.9,9.1,0.91,36.45,149.6,1380.8,132.5,29.4,1.65,0.0139,0.0513,450000,29.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000556,2024-11-03,Post-Monsoon,Odisha,Puri,Chilika Lake,Lake / Lagoon,24.3,7.42,8.47,1.52,4.5,310.6,14.7,6.09,0.81,0.0023,0.0027,20,96.9,Class A (Drinking with disinfection),Potable after simple disinfection
IND-WQ-000557,2024-01-26,Winter,Maharashtra,Mumbai,Mithi River,River (Surface Water),15.0,8.51,0.06,45.57,246.0,1201.6,85.0,45.51,1.21,0.0084,0.025,1200000,28.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000558,2023-09-16,Monsoon,West Bengal,Howrah,Hooghly River,River (Surface Water),27.4,8.26,4.71,3.53,12.1,588.1,143.9,11.76,0.6,0.007,0.0173,1200,48.8,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000559,2023-11-03,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),23.4,7.78,2.81,11.3,55.2,1020.9,79.9,33.2,1.03,0.0255,0.0208,1200000,37.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000560,2026-01-23,Winter,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),20.8,8.35,0.0,39.23,201.9,2046.3,49.7,26.94,0.95,0.0156,0.0354,1200000,38.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000561,2025-08-07,Monsoon,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),29.1,7.33,3.78,0.95,2.6,443.5,3.0,12.7,0.75,0.0378,0.0078,60,38.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000562,2025-08-27,Monsoon,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,27.5,7.55,6.65,2.69,9.5,246.8,89.8,8.89,0.8,0.0022,0.0033,20,83.9,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000563,2023-09-03,Monsoon,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),22.6,8.11,4.26,1.96,7.4,1392.5,1.6,55.94,2.67,0.0029,0.004,0,67.0,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000564,2025-01-02,Winter,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,19.2,7.45,1.0,52.62,208.7,1869.3,58.5,58.04,1.13,0.0101,0.0239,1200000,25.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000565,2023-07-06,Monsoon,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),30.5,7.68,1.78,11.33,46.4,1305.8,184.4,63.95,0.86,0.0274,0.0162,68000,32.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000566,2025-07-13,Monsoon,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,25.0,8.51,0.46,48.82,191.8,1841.8,272.2,42.66,0.89,0.01,0.0311,1200000,38.9,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000567,2025-02-23,Winter,Tamil Nadu,Chennai,Cooum River,River (Surface Water),22.1,10.16,0.1,36.59,161.3,1773.5,30.9,50.78,1.1,0.0121,0.0122,450000,30.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000568,2024-02-12,Winter,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,18.6,7.81,0.81,38.17,142.8,1657.8,52.5,46.99,0.93,0.0226,0.0519,180000,38.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000569,2026-02-22,Winter,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),21.6,7.34,6.36,8.35,38.8,514.9,19.4,30.17,1.12,0.0113,0.0118,8500,51.8,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000570,2023-12-07,Winter,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),17.1,8.41,0.24,35.57,129.1,1506.4,39.2,35.63,1.6,0.014,0.044,68000,38.3,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000571,2024-07-16,Monsoon,Odisha,Puri,Chilika Lake,Lake / Lagoon,26.7,7.23,6.99,1.66,6.0,237.6,29.3,1.75,0.7,0.0022,0.0052,600,60.6,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000572,2026-04-16,Pre-Monsoon / Summer,Maharashtra,Mumbai,Mithi River,River (Surface Water),36.0,7.39,0.0,48.19,289.5,1367.3,83.5,51.59,1.59,0.0219,0.0314,1200000,27.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000573,2024-10-12,Post-Monsoon,Telangana,Hyderabad,Musi River,River (Surface Water),25.6,7.8,0.11,40.61,259.0,1035.9,82.6,55.78,1.8,0.0254,0.0154,180000,31.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000574,2025-08-09,Monsoon,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),25.1,8.16,1.57,20.73,96.4,960.9,195.4,54.41,0.99,0.0268,0.0267,450000,29.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000575,2026-04-08,Pre-Monsoon / Summer,Odisha,Puri,Chilika Lake,Lake / Lagoon,28.6,7.7,7.68,2.93,11.2,239.0,12.0,1.57,0.6,0.0041,0.0018,600,60.1,Class C (Drinking after treatment),Requires Conventional Treatment
IND-WQ-000576,2025-11-28,Post-Monsoon,Assam,Cachar (Silchar),Barak River,River (Surface Water),21.0,7.1,7.39,2.73,9.8,232.9,4.9,8.63,0.54,0.0045,0.0068,20,74.4,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000577,2023-03-10,Pre-Monsoon / Summer,Bihar,Patna,Ganga River,River (Surface Water),28.3,7.38,5.36,7.87,28.2,743.7,11.7,18.78,0.63,0.0072,0.0131,2400,41.1,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000578,2026-06-13,Pre-Monsoon / Summer,Telangana,Hyderabad,Musi River,River (Surface Water),26.7,8.68,1.11,46.56,275.7,1854.4,72.6,27.43,1.22,0.0071,0.0233,450000,30.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000579,2024-01-16,Winter,Assam,Cachar (Silchar),Barak River,River (Surface Water),14.1,7.51,7.57,3.12,10.5,254.0,6.4,9.04,0.66,0.0032,0.0012,80,43.9,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000580,2023-02-26,Winter,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),21.2,7.44,1.22,8.0,45.4,1640.8,75.5,33.28,1.01,0.0139,0.0381,180000,34.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000581,2026-07-24,Monsoon,Assam,Cachar (Silchar),Barak River,River (Surface Water),25.3,7.46,7.23,2.36,6.3,291.7,29.3,4.56,0.35,0.0046,0.002,140,72.1,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000582,2025-04-29,Pre-Monsoon / Summer,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),27.4,7.9,7.52,1.39,3.6,2392.4,4.5,43.9,2.24,0.0028,0.0029,35,73.5,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000583,2026-01-27,Winter,West Bengal,Howrah,Hooghly River,River (Surface Water),18.9,7.69,5.41,3.68,14.1,432.0,29.9,31.43,1.01,0.011,0.0125,4800,49.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000584,2025-07-04,Monsoon,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),25.3,7.37,1.74,8.0,38.7,700.8,159.8,50.04,1.46,0.0155,0.0387,1200000,28.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000585,2023-11-21,Post-Monsoon,Haryana,Panipat,Yamuna River (Drain Basin),River (Surface Water),21.2,7.91,1.78,26.56,110.9,973.7,37.9,64.58,1.09,0.0201,0.0238,68000,36.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000586,2024-04-05,Pre-Monsoon / Summer,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,29.9,9.06,0.7,40.32,230.3,1452.5,64.3,32.77,0.84,0.019,0.0382,68000,37.6,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000587,2023-06-28,Pre-Monsoon / Summer,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),29.3,7.4,1.75,27.13,99.8,957.1,69.6,60.04,1.44,0.0208,0.0321,1200000,25.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000588,2025-04-23,Pre-Monsoon / Summer,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),30.4,8.49,3.73,3.49,11.0,485.7,21.4,28.0,0.51,0.0089,0.0078,8500,28.1,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000589,2024-07-27,Monsoon,Madhya Pradesh,Bhopal,Bhojtal (Upper Lake),Lake / Wetland,25.8,7.21,5.78,1.62,5.8,217.0,55.6,3.45,0.54,0.0017,0.0018,350,76.8,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000590,2023-04-29,Pre-Monsoon / Summer,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),33.5,7.42,4.35,4.94,23.3,471.9,14.8,31.94,0.76,0.0059,0.0059,2400,47.2,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000591,2024-07-02,Monsoon,Odisha,Puri,Chilika Lake,Lake / Lagoon,24.0,7.27,6.81,1.57,5.1,283.7,29.4,8.69,0.78,0.0012,0.0046,140,85.1,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000592,2024-10-07,Post-Monsoon,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),25.3,7.08,4.25,7.99,32.2,541.7,10.2,11.72,0.78,0.0098,0.0127,2400,48.1,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000593,2023-01-26,Winter,Tamil Nadu,Chennai,Cooum River,River (Surface Water),19.9,7.77,0.61,37.49,241.9,1658.3,78.6,29.65,1.23,0.0127,0.012,180000,37.5,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000594,2025-10-28,Post-Monsoon,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),25.9,8.79,1.21,39.52,247.9,1363.8,62.0,49.14,1.04,0.0191,0.0387,25000,25.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000595,2025-08-26,Monsoon,Bihar,Patna,Ganga River,River (Surface Water),24.1,8.25,5.48,6.53,26.8,449.6,91.1,31.25,0.75,0.0112,0.0089,1200,51.5,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000596,2024-06-16,Pre-Monsoon / Summer,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),32.6,7.97,5.39,0.91,2.4,2113.0,4.6,67.7,2.21,0.0029,0.0056,0,80.9,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000597,2023-05-29,Pre-Monsoon / Summer,West Bengal,Malda,Groundwater Aquifer (Tube Well),Groundwater (Aquifer),31.3,7.47,4.73,2.38,7.6,436.3,3.6,7.75,1.0,0.0622,0.005,60,47.4,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000598,2025-11-14,Post-Monsoon,West Bengal,Howrah,Hooghly River,River (Surface Water),23.6,7.83,5.75,4.71,15.6,640.7,15.8,20.85,1.15,0.0054,0.018,2400,53.7,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000599,2024-10-16,Post-Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,22.3,8.45,0.6,43.84,281.3,1723.1,56.1,40.46,1.76,0.0108,0.0219,68000,25.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000600,2025-08-02,Monsoon,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),31.3,7.46,0.41,21.56,87.0,825.8,86.3,58.48,1.5,0.0243,0.0399,180000,33.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000601,2024-07-08,Monsoon,Maharashtra,Pune,Mula-Mutha River,River (Surface Water),25.9,9.13,2.93,11.85,60.4,834.6,276.1,54.48,1.61,0.027,0.053,450000,33.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000602,2024-02-29,Winter,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),20.0,8.18,5.05,1.71,5.2,2120.5,2.2,36.51,1.8,0.007,0.0084,35,83.6,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000603,2023-10-20,Post-Monsoon,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),24.7,7.64,5.1,5.76,19.2,686.7,26.7,25.05,0.52,0.004,0.009,8500,42.3,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000604,2026-04-23,Pre-Monsoon / Summer,West Bengal,Howrah,Hooghly River,River (Surface Water),29.4,7.2,5.08,5.65,24.2,343.0,20.3,15.13,0.87,0.0073,0.0144,4800,45.0,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000605,2024-07-07,Monsoon,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),22.6,7.94,6.29,5.67,27.2,601.8,130.3,24.03,0.97,0.011,0.0128,14000,46.8,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000606,2024-03-06,Pre-Monsoon / Summer,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),29.9,8.02,4.99,7.53,28.7,508.5,21.0,10.54,0.8,0.0095,0.0099,14000,42.3,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000607,2024-08-26,Monsoon,Rajasthan,Barmer,Groundwater Aquifer (Deep Well),Groundwater (Aquifer),27.7,7.69,3.13,1.87,6.4,1780.4,1.9,42.13,2.05,0.0039,0.0055,0,30.2,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000608,2023-11-13,Post-Monsoon,Karnataka,Bengaluru,Bellandur Lake,Lake / Wetland,26.1,8.63,0.67,43.35,193.0,1463.1,60.0,44.36,1.77,0.0195,0.0496,1200000,25.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000609,2024-02-02,Winter,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,15.3,8.49,0.54,34.77,199.6,2035.5,54.4,42.48,1.62,0.0111,0.0477,68000,34.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000610,2024-08-18,Monsoon,Maharashtra,Mumbai,Mithi River,River (Surface Water),25.4,9.38,0.63,57.46,218.6,1956.9,70.5,26.93,0.86,0.0204,0.0224,68000,29.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000611,2024-06-29,Pre-Monsoon / Summer,Punjab,Ludhiana,Buddha Nullah (Sutlej Tributary),River / Drain,32.0,8.01,1.22,54.71,301.1,1519.0,63.0,50.46,1.09,0.0227,0.0309,1200000,34.4,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000612,2023-03-17,Pre-Monsoon / Summer,Tamil Nadu,Madurai,Vaigai River,River (Surface Water),26.6,7.96,4.74,6.44,26.7,432.0,14.3,11.45,0.66,0.0047,0.0063,4800,47.6,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000613,2025-05-14,Pre-Monsoon / Summer,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),31.4,7.89,4.58,7.49,27.3,639.8,27.4,10.71,0.74,0.004,0.0134,14000,43.8,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000614,2025-07-04,Monsoon,Uttar Pradesh,Kanpur,Ganga River (Jajmau Stretch),River (Surface Water),28.2,7.95,2.11,28.08,132.2,1003.0,244.0,53.95,0.82,0.021,0.0219,1200000,37.0,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000615,2024-12-09,Winter,Gujarat,Ahmedabad,Sabarmati River (Downstream),River (Surface Water),24.2,6.73,2.27,23.7,128.6,1199.6,31.2,35.86,1.24,0.0185,0.0333,1200000,37.8,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000616,2024-04-30,Pre-Monsoon / Summer,Delhi,New Delhi,Yamuna River (Okhla Barrage),River (Surface Water),33.6,8.18,0.0,56.24,327.3,1192.8,33.1,57.11,1.78,0.02,0.0428,25000,27.7,Class E (Irrigation & Industrial Cooling),Non-Potable (Industrial/Irrigation)
IND-WQ-000617,2026-01-16,Winter,Uttar Pradesh,Varanasi,Ganga River,River (Surface Water),18.8,7.72,4.39,5.99,19.4,697.4,13.3,20.0,1.11,0.0093,0.0062,8500,48.6,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
IND-WQ-000618,2025-01-16,Winter,Odisha,Puri,Chilika Lake,Lake / Lagoon,17.2,7.04,7.05,1.03,4.0,295.7,8.1,7.57,0.8,0.0024,0.0038,350,81.7,Class B (Outdoor Bathing),Requires Conventional Treatment
IND-WQ-000619,2026-06-09,Pre-Monsoon / Summer,Bihar,Patna,Ganga River,River (Surface Water),29.9,7.4,5.4,6.95,21.2,701.2,28.4,19.06,0.89,0.0023,0.0124,8500,45.5,Class D (Fisheries & Wildlife),Non-Potable (Ecological Use Only)
